Sample	Field	Field_type	Field_position	Date	Species	Dry_weight_mg	Glucose	Fructose	Sucrose	Stachyose	Maltose	Erlose	Melezitose	Trehalose	GF_Ratio	TotSug	H_Ratio
B56	I1	Intercrop	50m	28-mai	A._ervi	0.221	89.21222228	49.78252239	7.302204069	2.391391611	10.50751476	12.93278652	0.53488215	3.262891623	0.641838816	172.6635238	0.138854941115247
A502	S4	Triticale	5m	03-mai	A._ervi	0.142	24.03677211	15.46429734	1.945279662	0.661284193	1.54691452	0.604736328	0.083085964	2.92077678	0.608509401	44.34237012	0.0503973244089642
A503	S4	Triticale	5m	03-mai	A._ervi	0.156	34.62226769	11.34979203	2.569134783	0.604752121	1.866197079	0.154498828	0.30174343	6.455599473	0.753115434	51.46838596	0.0451236092541341
A505	S4	Triticale	5m	03-mai	A._ervi	0.121	59.81483369	31.69023834	5.556736648	0.834643061	3.363681494	2.25075704	0.681229994	1.670482875	0.653677795	104.1921203	0.0604236530543088
A506	S4	Triticale	5m	03-mai	A._ervi	0.101	11.32206929	2.416504668	1.025525072	0.282617669	0.729264642	0.073311815	0.274684739	1.483644764	0.824108042	16.1239779	0.0668111307694114
A2	I1	Intercrop	50m	08-mai	A._ervi	0.112	20.13092105	2.047210252	1.213861746	0.352688636	0.337134384	0.21497783	0	1.795910297	0.907692392	24.29679389	0.0227236653732835
A512	S4	Triticale	50m	03-mai	A._ervi	0.079	34.87774123	27.73480122	3.711196785	0.8057146	2.27470727	4.021410953	0.433117855	7.241032265	0.557040808	73.85868991	0.0911096051960827
A520	S4	Triticale	50m	03-mai	A._ervi	0.095	47.91418849	30.51637891	4.149017238	1.015188698	1.248568363	2.791990236	0.363272506	4.032452991	0.610912175	87.99860444	0.0500443289189053
A521	S4	Triticale	50m	03-mai	A._ervi	0.117	9.744626472	7.561732117	0.904413076	0.294526324	0.215171406	0.115412923	0.148160285	1.011908296	0.563066252	18.9840426	0.0252182648389127
A522	S4	Triticale	50m	03-mai	A._ervi	0.142	28.37536191	17.5229998	2.649192807	0.806424345	1.544743445	0.930570932	0.190853033	3.1699939	0.618221672	52.02014627	0.0512525934887188
A64	I1	Intercrop	5m	03-mai	A._ervi	0.228	46.62030779	3.41126417	1.761641317	0.754444975	0.571121403	0.080008197	0	3.266260355	0.93181777	53.19878786	0.0122395570687351
A18	I2	Intercrop	5m	04-mai	A._ervi	0.142	97.52063441	44.00885234	6.27531011	1.351247234	2.29809394	0.814119892	0	2.205654129	0.689048174	152.2682579	0.020439019103009
A19	I2	Intercrop	5m	04-mai	A._ervi	0.161	86.50311989	5.391951281	2.261006903	0.561962847	1.239752689	0	0	1.555520473	0.941324913	95.95779361	0.0129197706862531
A20	I2	Intercrop	5m	04-mai	A._ervi	0.102	48.16556077	15.41976394	1.714255293	0.763852193	1.716613833	0.699038003	0	1.899431466	0.757494925	68.47908403	0.0352757615002813
A79	I1	Intercrop	50m	04-mai	A._ervi	0.144	13.97529266	3.223631341	1.731823748	0.987900958	0.096493917	0	0	1.732838198	0.812567848	20.01514262	0.00482104568685806
A82	I1	Intercrop	50m	04-mai	A._ervi	0.096	24.25752099	14.85742089	1.370339479	0.829307706	0.889728557	0.96050644	0	4.38017346	0.620159965	43.16482407	0.0428644164980145
A528	S4	Triticale	50m	03-mai	A._ervi	0.139	9.260977674	6.385481287	0.612531028	0.346640668	0.013260411	0.026283	0.091019614	0.913733401	0.591889686	16.73619368	0.0078012376945676
A529	S4	Triticale	50m	03-mai	A._ervi	0.255	39.05323506	14.76668663	2.393157174	0.707331618	1.90565303	0.398615603	0.152990732	3.032295443	0.725627868	59.37766985	0.0413835600354061
A530	S4	Triticale	50m	03-mai	Aphidius_sp.	0.157	16.843393	10.99068537	1.224696386	0.439534745	0.439773608	0.175727941	0.088329953	1.038493786	0.605135646	30.20214101	0.0233040267498572
A531	S4	Triticale	50m	03-mai	A._ervi	0.224	31.69571521	15.25136758	2.078419197	0.473882915	0.602207479	0.317760729	0.138825046	2.887025511	0.675137055	50.55817816	0.0209420768811975
A532	S4	Triticale	50m	03-mai	A._ervi	0.172	9.721363067	4.11138816	0.696089087	0.241546201	0.190418087	0	0.023723698	0.829620042	0.70277871	14.9845283	0.0142908592591467
A532.2	S4	Triticale	50m	03-mai	A._ervi	0.411	34.90856808	15.54513699	20.98697895	0.470686942	2.289969331	0.89470507	0.355282915	2.248492155	0.691893054	75.45132828	0.0469170973751875
A541	S4	Triticale	5m	08-mai	A._ervi	0.204	4.715309932	2.296783665	3.016911293	0.150314965	0.302839002	0.103531811	0.220379246	0.1728776	0.672453935	10.80606991	0.057999815309357
