Sample	Field	Field_type	Field_position	Date	Species	Dry_weight_mg	Glucose	Fructose	Sucrose	Stachyose	Maltose	Erlose	Melezitose	Trehalose	GF_Ratio	TotSug	H_Ratio
A379	I1	Intercrop	50m	08-mai	A._ervi	0.143	27.70390375	9.010592414	0.626322188	0.395427731	0.001388337	0	0.201317693	1.949047569	0.754576711	37.93895211	0.00534295278931994
A353	S3	Triticale	5m	03-mai	A._ervi	0.216	66.89799681	42.88341019	4.06895851	1.001438326	1.528832259	0.07760068	0.301985005	4.010293865	0.609374562	116.7602218	0.0163447612087356
A338	S3	Triticale	5m	03-mai	A._ervi	0.203	88.8721329	41.13018147	6.31041193	0.929828671	1.03629444	0.091633199	0.325916689	2.753349821	0.683619621	138.6963993	0.0104822067143599
A37	S3	Triticale	50m	08-mai	A._rhopalosiphi	0.111	77.49316468	31.92433404	4.556373884	0.793849736	1.525956324	0.065432447	0.230024806	6.340999639	0.708233743	116.5891359	0.0156224982966016
A352	S3	Triticale	5m	03-mai	A._uzbekistanicus_?	0.08	46.25238722	13.54652144	4.418340971	0.364958654	1.464079512	0.067446942	0.169552711	3.303181605	0.773465407	66.28328745	0.025663771826091
B91	I2	Intercrop	5m	22-mai	Aphidius_sp.	0.135	8.350565324	1.972048504	0.811490142	0.224994226	0.133831188	0	0.004168789	1.844268698	0.808958415	11.49709817	0.0120030267602734
A47	S3	Triticale	50m	03-mai	A._ervi	0.245	23.03878326	8.397044072	1.559596514	0.547349689	0.93845399	0.166201754	0.179858561	4.240083664	0.732882994	34.82728784	0.0368824098764505
B113	I3	Intercrop	50m	28-mai	A._ervi	0.083	60.45734158	10.61966661	1.080589618	0.194443378	0.04796278	0	0.059429623	7.906804699	0.850589285	72.45943359	0.00148210381560064
A17	I2	Intercrop	5m	04-mai	Aphidius_sp.	0.116	8.305753596	1.930464287	0.974634739	0.323424495	0.161588648	0.028556187	0.50137502	2.127327076	0.811408441	12.22579697	0.0565623539059965
A35	S3	Triticale	50m	08-mai	A._ervi	0.172	50.6168821	12.86077002	2.296711417	0.693634293	1.446706933	0.556737645	0.27219499	4.274828702	0.797396886	68.74363739	0.033103275508826
B81	I2	Intercrop	5m	22-mai	A._avenae	0.303	41.62762816	21.57924962	2.220813315	0.434211757	0.219081475	0.018546508	0.117816252	1.879640399	0.658593331	66.21734709	0.00536784167020304
A335	S3	Triticale	5m	03-mai	A._ervi	0.118	15.81674491	29.34768569	2.978687034	0.793531602	1.242379293	1.125728262	0.418756918	6.8719844	0.350203572	51.72351371	0.0538800300502632
A368	S2	Triticale	5m	11-mai	Aphidius_sp.	0.177	89.46917034	67.76602517	4.051408568	0.861104546	6.444444879	2.81496773	1.87717954	4.773551629	0.569014908	173.2843008	0.0642677501515475
A316	I3	Intercrop	5m	09-mai	A._ervi	0.267	51.73238445	42.37223035	0.398603938	0.853266564	11.36379867	1.083701714	4.15410911	8.321522948	0.549732705	111.9580948	0.148284137235962
A181	S2	Triticale	5m	03-mai	Aphidius_sp.	0.161	6.246891349	13.59655113	1.388303492	0.612265296	0.543411484	0.174236751	0.113827049	2.162699965	0.314808852	22.67548655	0.0366684649595755
A96	S1	Triticale	5m	09-mai	A._ervi_or_A._uzbekistanicus_?	0.143	9.743270757	15.39189578	2.563203597	0.640285596	0.271991111	1.011428915	0.646549164	7.076417845	0.387635019	30.26862492	0.0637613765111864
A306	I3	Intercrop	5m	09-mai	A._ervi	0.111	69.65059972	13.89616257	3.118800596	0.553946655	1.194240622	0.826677065	2.243510408	5.298446727	0.83367204	91.48393764	0.0466139543728542
A266	I3	Intercrop	50m	09-mai	A._avenae_?	0.099	59.94053324	20.82662383	4.680982854	1.017483595	1.404645646	0.297110402	0.757416995	8.926563929	0.742139942	88.92479655	0.0276545253788382
A344	S3	Triticale	5m	03-mai	A._ervi	0.243	79.61240393	38.08778855	4.665416224	1.019759013	2.174286769	1.367263859	0.500127772	1.57073077	0.676399947	127.4270461	0.0317175868365358
A355	S3	Triticale	5m	03-mai	A._ervi	0.206	69.22844826	38.9812985	5.572134975	1.09227108	2.300500726	1.656521234	0.550195568	2.694417218	0.63976167	119.3813703	0.037754781308621
A103	S2	Triticale	50m	03-mai	Aphidius_sp.	0.127	36.19622255	34.92006964	8.984445583	0.835500794	1.486623719	2.76608264	1.278015656	3.932747374	0.508972296	86.46696059	0.0639634142019285
A191	S2	Triticale	5m	03-mai	Aphidius_sp.	0.078	3.609306016	9.119525087	1.19715628	0.807504294	0.434065609	0.082183783	0.035008016	6.385076367	0.28355361	15.28474908	0.0360658461002358
A287	I3	Intercrop	5m	09-mai	A._ervi	0.355	33.84694596	9.82269244	3.131329631	0.897597782	2.605228654	0.06091239	0.118698212	1.410251363	0.775068153	50.48340507	0.0551634592028521
A244	S3	Triticale	5m	08-mai	A._ervi	0.213	85.58648469	33.4532898	3.461872904	1.057788354	2.395666402	1.835347432	0.600502763	0.486584738	0.718973848	128.3909523	0.0376312856198045
B150	I1	Intercrop	50m	22-mai	A._ervi	0.147	4.005169947	8.251370172	1.104893198	0.405196053	0.276330619	0.137902616	0.184367588	2.811475023	0.326778186	14.36523019	0.0416701170174566
A39.2	S3	Triticale	50m	08-mai	A._ervi	0.193	54.58693159	30.67371026	20.10830096	0.799186896	1.836430792	5.921235228	1.68293412	18.03428566	0.640235992	115.6087298	0.081659924439374
A364	S2	Triticale	5m	11-mai	A._rhopalosiphi	0.093	25.78993093	18.32308095	1.471863819	0.883884379	1.644582269	0.713037901	0.247935824	16.82785465	0.584633192	49.07431607	0.0530940867374171
A264	I3	Intercrop	50m	09-mai	Aphidius_sp.	0.172	51.91365657	25.18574195	5.633544576	0.73419425	1.188681995	0.479009737	0.538683639	3.864613863	0.673334132	85.67351271	0.025753296453111
A235	S3	Triticale	5m	08-mai	A._ervi	0.401	271.4877452	100.9803491	11.15934056	4.076378401	17.76207095	4.495845921	1.199461022	3.442767974	0.728888593	411.1611912	0.0570515369520605
B95	I2	Intercrop	50m	22-mai	A._ervi	0.23	43.20261939	25.32366456	5.097310024	0.423413833	0.396859524	0.083880492	0.087944397	3.485990815	0.630453264	74.61569222	0.00762151225942215
A67	I1	Intercrop	5m	08-mai	A._rhopaolosiphi_?	0.132	21.5247784	15.0225283	4.429604157	0.271586255	0.914739967	0.395150638	0.391125169	4.387912559	0.588956625	42.94951288	0.0396050073665003
A63	S3	Triticale	50m	03-mai	A._ervi?	0.186	19.3054113	10.35801795	2.282825021	0.340574244	0.746533	0.386295491	0.08066862	3.51226922	0.650815222	33.50032563	0.0362234422555373
B121	I3	Intercrop	5m	30-mai	A._ervi	0.125	31.44044967	32.69054333	5.269576499	0.604609374	6.190438733	1.716756956	1.650399192	15.79891763	0.490253592	79.56277375	0.120126466568795
A324	S2	Triticale	50m	11-mai	A._ervi	0.249	29.26362122	14.93194996	4.189743272	0.528710803	0.763282145	2.321357604	0.689233263	0.93824778	0.662139224	52.68789826	0.0716269416057744
A305	I3	Intercrop	5m	09-mai	A._ervi	0.099	8.673389574	1.300368181	1.794056274	0.365133499	0.534031437	0.163817414	0.135402147	7.191243296	0.869621038	12.96619852	0.0642633225701992
A333	S3	Triticale	5m	03-mai	A._ervi	0.203	28.77271233	18.54953611	3.649840021	0.599460777	1.147371663	1.312883798	0.249128275	6.467442274	0.608016594	54.28093297	0.0499140966773254
A104	S2	Triticale	50m	03-mai	A._matricariae_?	0.12	12.58981373	24.09071896	2.555432474	0.960708152	0.81753107	1.103099044	0.302073461	8.40692268	0.343228759	42.41937689	0.0523983079893845
A51	S3	Triticale	50m	03-mai	A._ervi	0.159	52.96866352	27.67432921	5.009684423	0.917005957	2.182457496	2.990595683	0.537120883	5.24586004	0.65682909	92.27985718	0.0618788784085546
A159	S2	Triticale	5m	03-mai	A._rhopalosiphi_?	0.146	15.19473478	16.47083384	1.902431403	1.045678389	0.877752878	0.63229424	0.141010962	15.02773068	0.479850369	36.26473648	0.0455279216191343
A328	S3	Triticale	5m	03-mai	Aphidius_sp.	0.098	9.037113348	7.986456731	1.702595058	0.457126368	0.64382714	0.347493296	0.051976403	3.82460707	0.53085888	20.22658834	0.051580465349007
A98	S1	Triticale	50m	11-mai	A._ervi	0.192	87.41148334	65.70642893	5.988891058	2.902201964	4.401258663	6.762005088	1.364896915	14.40679917	0.570876928	174.537166	0.0717793290284088
A347	S3	Triticale	5m	03-mai	Aphidius_sp.	0.082	119.6854849	90.31900877	12.28117877	1.628187934	5.157739861	3.984384554	0.591092924	6.818286077	0.569918685	233.6470778	0.0416577747543308
A362	S2	Triticale	5m	11-mai	A._ervi	0.106	62.46165353	32.10203606	3.680024702	0.780749054	2.563125594	1.712877238	0.313421386	4.304426117	0.660524709	103.6138876	0.0442935240082624
A345	S3	Triticale	5m	03-mai	A._ervi	0.171	19.48668771	22.57967095	3.527912406	0.371324522	0.86517349	1.056297726	0.124802258	1.721134523	0.463236856	48.01186906	0.0426201585995911
A11	I2	Intercrop	5m	04-mai	A._ervi	0.213	87.21102313	47.52786713	8.614019862	1.163280291	2.275054193	4.829994865	2.484278254	3.403346397	0.647259473	154.1055177	0.0622257233557835
A262	I3	Intercrop	50m	09-mai	A._rhopalosiphi_or_A._uzbekistanicus	0.162	32.28572472	12.93783705	3.246561387	0.463254112	1.033174683	0.44818197	0.229840077	2.63142025	0.713913797	50.64457399	0.0337883527332639
A319	S2	Triticale	50m	11-mai	A._matricariae_?	0.121	21.02019093	20.72687232	5.278242332	0.731627898	1.721916578	1.497952853	0.259908861	5.967064541	0.503513045	51.23671177	0.0679157223754057
A91	S1	Triticale	5m	09-mai	A._ervi	0.203	77.47999497	46.75376695	4.419087505	2.018757095	2.415727358	2.317637939	0.393145084	5.307503101	0.623662954	135.7981169	0.0377509681137559
A69	I1	Intercrop	5m	03-mai	A._ervi	0.121	61.31276615	18.52139917	3.788114428	0.77466573	1.746260955	1.923716906	0.863473497	7.675103407	0.768001593	88.93039683	0.0509775230922019
A97	S1	Triticale	5m	09-mai	A._ervi	0.162	57.14579849	47.0039553	18.78937375	0.93751385	2.850525207	4.918906026	0.780285162	11.70062671	0.548688753	132.4263578	0.0645620444225492
A46	S3	Triticale	50m	03-mai	A._ervi	0.175	43.21003262	12.58943915	2.902451153	0.644955729	1.308064186	1.183277974	0.107785722	3.299498828	0.774380675	61.94600653	0.041957957059609
B57	I1	Intercrop	50m	28-mai	A._ervi	0.216	37.53273443	40.96947336	4.726875734	1.487739811	5.106319061	1.054461872	0.447174184	13.06703127	0.478110559	91.32477846	0.0723566509377766
A341	S3	Triticale	5m	03-mai	A._ervi	0.102	49.85203537	16.30134716	3.086025327	0.460697314	1.617004328	0.227140171	0.003567008	1.980951546	0.75358256	71.54781668	0.0258248482307147
A367	S2	Triticale	5m	11-mai	A._matricariae	0.159	73.6024463	44.81331094	3.284530632	1.030885463	5.684100732	1.620537733	0.21845821	8.214973427	0.621559563	130.25427	0.0577570061618709
A36	S3	Triticale	50m	08-mai	A._ervi	0.078	126.2883899	35.65913293	8.21045308	1.593000535	2.922239811	3.081813598	0	10.25788263	0.779810569	177.7550299	0.0337771224385477
A208	S2	Triticale	50m	09-mai	A._rhopalosiphi	0.176	45.39472915	21.56474788	2.934463823	1.61690628	2.544558474	0.575926362	0.062166296	11.17340109	0.677943305	74.69349827	0.0426094801517455
A49	S3	Triticale	50m	03-mai	A._ervi	0.25	34.3410116	2.730728019	1.704025468	0.340265471	0.738350995	0.132426344	0	2.174001604	0.926339361	39.98680789	0.0217766154626653
A99	S1	Triticale	50m	11-mai	A._ervi	0.183	57.14561867	60.97752386	8.46267147	1.274677921	3.635059576	10.16854826	0.491201791	14.95518141	0.48378004	142.1553015	0.100557696238997
A378	I1	Intercrop	50m	08-mai	A._ervi	0.218	38.78988802	20.02257341	0.732434839	0.813576176	1.558379679	0.373635946	0.123034165	1.721236038	0.659552195	62.41352224	0.0329263549988042
A86	S1	Triticale	50m	09-mai	A._ervi	0.204	98.43753934	61.12763687	8.219020071	2.179668563	4.601221094	8.166143266	0.220652393	10.94467452	0.616911169	182.9518816	0.0709914357776138
A228	S3	Triticale	5m	08-mai	A._ervi	0.242	169.4262826	102.0084129	20.86617806	2.032666392	17.02499261	20.13585228	0	7.340443612	0.624188011	331.4943848	0.112100978459772
A374	S2	Triticale	5m	11-mai	A._ervi	0.053	17.16834401	13.50728726	1.164490926	0.317565211	0.428472247	0.696456653	0.007722909	4.665161984	0.559673699	33.29033921	0.0340234385073423
A28	S1	Triticale	5m	04-mai	A._ervi	0.05	2.334637547	0.080464185	2.179643569	0	0	0.20227914	0	4.435849097	0.9666829	4.797024442	0.0421676275461429
A261	I3	Intercrop	50m	09-mai	A._uzbekistanicus_?	0.161	16.21160955	11.04840263	1.655872998	0.27891473	0.247687438	0.067286705	0.018359201	3.085518299	0.594702946	29.52813325	0.0112886697299092
A29	S1	Triticale	5m	04-mai	A._ervi	0.265	14.96081319	0.256757576	0.380939978	0.415746268	0.152017963	0.073459406	0	1.402062311	0.983127558	16.23973438	0.0138843015362176
A346	S3	Triticale	5m	03-mai	A._ervi	0.172	28.03432901	18.11077279	1.406141831	0.540922853	0.38398155	0.570911851	0	3.587406716	0.607525564	49.04705988	0.0194689223642818
A387	S4	Triticale	5m	11-mai	Aphidius_sp.	0.085	9.889490921	8.661697478	0.962995897	0.662013849	0.818769974	0.236417413	0.087529063	4.907604438	0.533092043	21.31891459	0.0536010614037551
A381	I1	Intercrop	50m	08-mai	A._ervi	0.107	87.20803839	59.33582728	12.58979771	0.965651047	1.978970662	4.73238072	1.220504302	3.670983317	0.595098526	168.0311701	0.0472046685104885
A277	I3	Intercrop	50m	09-mai	A._ervi	0.203	111.0347773	35.03597438	3.469148729	0.471484238	3.010150017	1.666898553	0.409868369	4.915700878	0.760143807	155.0983016	0.0327980183311047
A12	I2	Intercrop	5m	04-mai	A._ervi	0.125	36.68509639	12.90140105	1.952337033	0.524624158	0.783584699	0.925024607	0.218355189	2.197664088	0.739820279	53.99042313	0.0356908574389237
A87	S1	Triticale	50m	09-mai	A._ervi	0.222	98.16825808	12.22300352	3.910844528	1.024037855	1.234000444	1.334771029	0	2.052497795	0.889275624	117.8949155	0.0217886535827747
A89	S1	Triticale	5m	09-mai	A._ervi	0.252	83.34304364	41.23574837	5.064861316	1.731093755	5.856217234	3.41499046	0	8.074647441	0.66899865	140.6459548	0.0659187653650171
A280	I3	Intercrop	50m	09-mai	Aphidius_sp.	0.189	27.39137855	26.95187962	3.535947534	1.044662124	1.359211	1.010794991	0.21229756	9.634636024	0.50404373	61.50617137	0.0419844625910097
A90	S1	Triticale	5m	09-mai	A._ervi	0.204	76.37634641	20.59624561	4.434881369	1.388338691	2.266600396	1.269577834	0	4.048799307	0.787607558	106.3319903	0.0332560146765164
A70	I1	Intercrop	5m	03-mai	A._ervi	0.164	35.30369385	6.341337674	0.576176063	0.985569098	0.371527279	0.867441033	0.177452103	4.380033074	0.84772883	44.6231971	0.0317417959055202
A94	S1	Triticale	5m	09-mai	A._ervi	0.226	53.31013648	27.78892516	4.806835726	1.759253262	4.141760493	5.478911592	0	3.560945433	0.65734591	97.28582272	0.0988907922656873
A16	I2	Intercrop	5m	04-mai	A._ervi	0.127	46.28422301	18.87591632	3.277540606	0.630513612	1.688774038	1.867071238	0.374412083	2.808943233	0.710314979	72.9984509	0.0538402844244466
A95	S1	Triticale	5m	09-mai	A._ervi	0.191	69.19692147	31.09310648	4.725914358	1.48072642	2.6909723	2.552174432	0	2.814863624	0.689968114	111.7398155	0.0469228153683501
A148	S2	Triticale	5m	03-mai	A._ervi	0.116	60.38544533	32.84128579	4.562829409	1.134630398	4.224089505	5.610291779	0	6.490221703	0.647726726	108.7585722	0.0904239646132464
A169	S2	Triticale	5m	03-mai	A._ervi	0.091	25.30092967	8.776243094	0.613653706	0.619850066	1.195388497	0	0	2.351794557	0.742459765	36.50606504	0.0327449287040442
A175	S2	Triticale	5m	03-mai	A._ervi	0.153	61.18205031	16.69657207	4.204894323	0.720760648	2.908479079	2.110729051	0	1.674244423	0.785607763	87.82348549	0.0571510923529847
A180	S2	Triticale	5m	03-mai	A._ervi	0.103	35.08892126	10.20140633	6.65702472	0.385846609	1.95353444	5.607211003	0	2.216017471	0.774755298	59.89394436	0.126235557263606
A183	S2	Triticale	5m	03-mai	A._ervi	0.041	21.4139289	7.187908086	1.418430906	0.099819656	0.957029828	0.597571156	0	3.027573993	0.748690684	31.67468853	0.0490802295507213
A273	I3	Intercrop	50m	09-mai	A._avenae_?	0.083	29.33758862	26.17704787	3.043930872	0.391578203	1.455589591	1.482872687	0.257200861	4.182582882	0.528465833	62.1458087	0.051422021948843
A377	I1	Intercrop	50m	08-mai	A._ervi	0.182	49.38522645	27.32408902	2.43371541	0.89513235	3.40806614	0.783128503	0.134189078	3.580433032	0.643796991	84.36354695	0.0512707665499595
A207	S2	Triticale	50m	09-mai	A._ervi	0.1	44.74033914	31.26349824	4.066476194	0.784443407	2.274294024	2.798139609	0	5.44193807	0.58865895	85.92719062	0.0590317639434073
A393	S4	Triticale	5m	11-mai	A._ervi	0.187	43.68060248	25.20558622	3.197361481	0.545785098	0.687827111	0.137210799	0.399071134	2.795920076	0.634098116	73.85344432	0.0165748402836305
