Week	Position	Field	Type	Tot_aphids	S_avenae	M_dirhodum	R_padi	Aphidius_mummies	Ephedrus_mummies	Praon_mummies	Tot_mummies	NBp_aphids	NBp_Sa	NBp_Md	NBp_Rp	NBp_Aphi	NBp_Ephe	NBp_Pra	NBp_mom_tot
19	50m	I3	Intercrop	2	2	0	0	2	0	0	2	2	2	0	0	2	0	0	2
19	50m	I4	Intercrop	19	18	0	0	1	0	0	1	6	5	0	0	1	0	0	1
19	50m	S3	Single_crop	6	6	0	0	2	0	0	2	2	2	0	0	2	0	0	2
19	50m	S4	Single_crop	24	24	0	0	2	0	0	2	7	7	0	0	2	0	0	2
19	50m	S5	Single_crop	4	4	0	0	4	0	0	4	2	2	0	0	4	0	0	4
19	50m	S6	Single_crop	5	5	0	0	1	0	0	1	3	3	0	0	1	0	0	1
21	5m	S1	Single_crop	2	0	2	0	1	0	0	1	1	0	1	0	1	0	0	1
21	5m	I5	Intercrop	20	20	0	0	1	0	0	1	3	3	0	0	1	0	0	1
21	5m	S2	Single_crop	73	73	0	0	5	0	0	5	7	7	0	0	4	0	0	4
21	5m	I1	Intercrop	8	8	0	0	0	0	0	0	3	3	0	0	0	0	0	0
21	5m	I2	Intercrop	57	56	1	0	5	0	0	5	14	13	1	0	5	0	0	5
21	5m	I3	Intercrop	43	43	0	0	3	0	0	3	12	12	0	0	3	0	0	3
21	5m	I4	Intercrop	25	24	1	0	7	0	1	8	10	10	1	0	6	0	1	7
21	5m	S3	Single_crop	6	6	0	0	0	0	0	0	2	2	0	0	0	0	0	0
21	5m	S4	Single_crop	20	20	0	0	1	0	0	1	5	5	0	0	1	0	0	1
21	5m	S5	Single_crop	4	2	2	0	0	0	0	0	4	2	2	0	0	0	0	0
21	5m	S6	Single_crop	77	66	11	0	2	0	0	2	8	6	2	0	1	0	0	1
21	50m	S1	Single_crop	19	19	0	0	0	0	0	0	4	4	0	0	0	0	0	0
21	50m	I5	Intercrop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	50m	S2	Single_crop	17	17	0	0	1	0	0	1	4	4	0	0	1	0	0	1
21	50m	I1	Intercrop	37	37	0	0	0	0	0	0	12	12	0	0	0	0	0	0
21	50m	I2	Intercrop	17	8	0	9	0	0	0	0	9	3	0	7	0	0	0	0
21	50m	I3	Intercrop	19	18	0	1	2	0	0	2	10	9	0	1	2	0	0	2
21	50m	I4	Intercrop	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
21	50m	S3	Single_crop	6	5	0	1	0	0	0	0	4	3	0	1	0	0	0	0
21	50m	S4	Single_crop	25	24	0	1	1	0	0	1	4	4	0	1	1	0	0	1
21	50m	S5	Single_crop	21	21	0	0	1	0	0	1	10	10	0	0	1	0	0	1
21	50m	S6	Single_crop	27	26	1	0	0	0	0	0	5	4	1	0	0	0	0	0
22	5m	S1	Single_crop	45	45	0	0	1	0	0	1	15	15	0	0	1	0	0	1
22	5m	I5	Intercrop	15	15	0	0	1	0	0	1	4	4	0	0	1	0	0	1
22	5m	S2	Single_crop	20	19	0	1	0	2	0	2	8	7	0	1	0	1	0	1
22	5m	I1	Intercrop	8	8	0	0	0	0	0	0	2	2	0	0	0	0	0	0
22	5m	I2	Intercrop	59	59	0	0	3	0	0	3	10	10	0	0	3	0	0	3
22	5m	I3	Intercrop	8	8	0	0	4	0	0	4	5	5	0	0	4	0	0	4
22	5m	I4	Intercrop	44	42	0	2	0	0	0	0	9	7	0	2	0	0	0	0
22	5m	S3	Single_crop	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
22	5m	S4	Single_crop	10	10	0	0	4	0	0	4	9	9	0	0	4	0	0	4
22	5m	S5	Single_crop	2	2	0	0	3	2	0	5	2	2	0	0	2	2	0	4
22	5m	S6	Single_crop	2	2	0	0	1	0	0	1	2	2	0	0	1	0	0	1
22	50m	S1	Single_crop	10	10	0	0	0	0	0	0	7	7	0	0	0	0	0	0
22	50m	I5	Intercrop	5	5	0	0	0	0	0	0	3	3	0	0	0	0	0	0
22	50m	S2	Single_crop	0	0	0	0	10	2	0	12	0	0	0	0	2	2	0	4
22	50m	I1	Intercrop	55	55	0	0	1	0	0	1	9	9	0	0	1	0	0	1
22	50m	I2	Intercrop	110	92	0	18	14	4	0	18	26	22	0	8	12	1	0	12
22	50m	I3	Intercrop	7	7	0	0	9	0	0	9	4	4	0	0	3	0	0	3
22	50m	I4	Intercrop	1	1	0	0	2	0	0	2	1	1	0	0	2	0	0	2
22	50m	S3	Single_crop	7	7	0	0	1	0	0	1	5	5	0	0	1	0	0	1
22	50m	S4	Single_crop	3	3	0	0	3	0	0	3	3	3	0	0	3	0	0	3
22	50m	S5	Single_crop	40	40	0	0	1	1	0	2	16	16	0	0	1	1	0	2
22	50m	S6	Single_crop	34	34	0	0	3	2	0	5	11	11	0	0	3	2	0	4
24	5m	S1	Single_crop	3	3	0	0	3	0	0	3	3	3	0	0	3	0	0	3
24	5m	I5	Intercrop	0	0	0	0	3	0	0	3	0	0	0	0	3	0	0	3
24	5m	S2	Single_crop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	5m	I1	Intercrop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	5m	I2	Intercrop	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1
24	5m	I3	Intercrop	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1
24	5m	I4	Intercrop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	5m	S3	Single_crop	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
24	5m	S4	Single_crop	3	3	0	0	2	5	0	7	3	3	0	0	2	5	0	7
24	5m	S5	Single_crop	3	3	0	0	2	1	0	3	2	2	0	0	2	1	0	3
24	5m	S6	Single_crop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	50m	S1	Single_crop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	50m	I5	Intercrop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	50m	S2	Single_crop	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1
24	50m	I1	Intercrop	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	2
24	50m	I2	Intercrop	7	7	0	0	2	1	0	3	3	3	0	0	2	1	0	3
24	50m	I3	Intercrop	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
24	50m	I4	Intercrop	3	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0
24	50m	S3	Single_crop	9	9	0	0	0	0	0	0	6	6	0	0	0	0	0	0
24	50m	S4	Single_crop	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
24	50m	S5	Single_crop	1	0	0	1	1	1	0	2	1	0	0	1	1	1	0	2
24	50m	S6	Single_crop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
