Date	Parasitoid_Origin	Hour_treatment	Sugar_treatment	Code	Glucose	Fructose	Sucrose	Maltose	Erlose	Melezitose	Stachyose	GF_Ratio	H_Ratio	TotSug	Type	Tmt.12
07/08/2018	Ap	0h	AfH	68a	42,84303598	0,895393358	0,586433469	1,90661255	0,108385457	0,117032013	0,190003863	0,979528452	0,04570572	46,64689669	Parasitoid	Honeydew
07/08/2018	Ap	0h	AfH	69a	25,6838891	13,30574827	2,14383825	6,561294018	3,369638365	43,93847671	3,68408944	0,658736291	0,545861392	98,68697416	Parasitoid	Honeydew
08/08/2018	Ap	0h	AfH	70a	16,09369283	6,903193708	0,31479377	0	0,090180241	0,855976945	0,497652794	0,699820508	0,038220095	24,75549029	Parasitoid	Honeydew
08/08/2018	Ap	0h	AfH	71a	44,22735185	28,78221462	3,688512725	0	0,567585113	20,22808528	5,03451432	0,60577475	0,20282866	102,5282639	Parasitoid	Honeydew
18/12/2017	Ap	48h	ApH	1	2,092848135	0,539657862	0,91070624	0,013374358	0	0,027797005	0	0,795002229	0,011486316	3,5843836	Parasitoid	Unfed
20/12/2017	Ap	48h	ApH	2	2,607092061	0,31158881	0,325204647	0	0	0,004752196	0,002940247	0,893243275	0,001461504	3,25157796	Parasitoid	Unfed
20/12/2017	Ap	48h	SaH	4	8,264955047	0,97096491	0,26750853	0	0	0,002874112	0,01063498	0,894870796	0,000302	9,516937579	Parasitoid	Unfed
18/12/2017	Ap	48h	VfN	5	2,414262297	0,362139715	0,474509839	0	0	0,007094973	5,12E-05	0,869565101	0,002177669	3,258058031	Parasitoid	Unfed
18/12/2017	Ap	48h	VfN	6	2,741616979	0,790429931	0,778036024	0	0	0,011705105	0,022351585	0,776211939	0,002694459	4,344139625	Parasitoid	Unfed
20/12/2017	Ap	48h	VfN	7	5,381040182	0,865629604	0,29933108	0	0	0,006216086	0,047048708	0,861425426	0,000941936	6,599265659	Parasitoid	Unfed
18/12/2017	Ap	48h	Unfed	8	2,426466618	0,637744553	0,41420114	0	0	0,001369577	0,016180441	0,791873171	0,00039176	3,495962329	Parasitoid	Unfed
20/12/2017	Ap	48h	Unfed	9	8,629346949	0,69215421	0,275795672	0	0	0,001890016	0,015748762	0,925746487	0,000196571	9,614935609	Parasitoid	Unfed
20/12/2017	Ap	48h	Unfed	10	9,509894815	0,911206152	0,0490366	0	0	0,001313495	0,009719942	0,912561431	0,000125319	10,481171	Parasitoid	Unfed
18/12/2017	Sa	48h	ApH	11	5,005251936	1,30825805	0,813474167	0	0	0,00746416	0,031918707	0,792784354	0,001041554	7,16636702	Parasitoid	Unfed
18/12/2017	Sa	48h	VfN	12	3,293520087	0,437514576	0,903474509	0	0	0,013301772	0	0,882736395	0,002861943	4,647810945	Parasitoid	Unfed
20/12/2017	Sa	48h	VfN	13	45,81995149	15,9979479	1,84957755	1,525591878	0	0	0,004590313	0,741208484	0,023399489	65,19765913	Parasitoid	Unfed
18/12/2017	Sa	48h	Unfed	14	1,683869515	0,490671564	0,835064736	0	0	0,04554084	0,028256831	0,774356268	0,014769666	3,083403486	Parasitoid	Unfed
18/12/2017	Sa	48h	Unfed	15	2,306024398	0,705486825	0,22263276	0	0	0,008764734	0,024666522	0,765736611	0,002682336	3,267575238	Parasitoid	Unfed
20/12/2017	Ap	24h	ApH	16	5,106361984	0,740234108	0,629333238	0	0	0,008613942	0,003472637	0,873390585	0,00132767	6,488015909	Parasitoid	Unfed
21/12/2017	Ap	24h	ApH	17	16,95188689	1,235053986	0,901075572	0,148394576	0	0,005365438	0,021020412	0,932091164	0,007982227	19,26279687	Parasitoid	Unfed
21/12/2017	Ap	24h	ApH	18	29,15351089	1,325949757	0,795532901	1,003296486	0	0,021112924	0,04700516	0,956496942	0,031669959	32,34640811	Parasitoid	Unfed
20/12/2017	Ap	24h	SaH	19	3,973100543	0,362029272	0,505787047	0	0	0,007895882	0	0,916489405	0,001628415	4,848812743	Parasitoid	Unfed
21/12/2017	Ap	24h	SaH	20	18,68906168	0,819100039	0,251884831	0,157783201	0	0,004479753	0,039995003	0,958012444	0,008128468	19,96230451	Parasitoid	Unfed
21/12/2017	Ap	24h	SaH	21	23,56125996	0,998267401	0,519545193	0,227905251	0	0,002877494	0,020649923	0,959353151	0,009110862	25,33050522	Parasitoid	Unfed
20/12/2017	Ap	24h	VfN	22	45,42524458	2,632472378	0,783356996	1,342812941	0	0,004954401	0	0,945222692	0,026853924	50,1888413	Parasitoid	Unfed
21/12/2017	Ap	24h	VfN	23	33,15118844	4,537629399	0,766053071	0,48077722	0	0,019895028	0,006822032	0,879602767	0,01285015	38,96236519	Parasitoid	Unfed
21/12/2017	Ap	24h	Unfed	24	16,39312508	1,018091094	0,281671152	0	0	0,053354223	0,031571843	0,94152671	0,003001169	17,77781339	Parasitoid	Unfed
21/12/2017	Sa	24h	ApH	25	2,597499367	0,365880369	0,868226665	0	0	0,012363592	0,051970036	0,876532743	0,003173455	3,895940029	Parasitoid	Unfed
21/12/2017	Sa	24h	ApH	26	6,718905716	0,277891502	0,032962983	0,078037904	0	0	0,016216599	0,960283042	0,010954203	7,124014705	Parasitoid	Unfed
21/12/2017	Sa	24h	SaH	27	1,96167355	0,277074709	0,478912591	0	0	0,011460173	0,046665698	0,876236773	0,004128622	2,775786721	Parasitoid	Unfed
21/12/2017	Sa	24h	SaH	28	1,772094425	0,299954005	0,726577401	0,00440658	0	0,007203983	0,007889538	0,855237937	0,004119959	2,818125931	Parasitoid	Unfed
20/12/2017	Sa	24h	VfN	29	1,878734662	0,397917675	0,781267652	0,058487341	0	0	0,013210389	0,825218076	0,018688334	3,129617719	Parasitoid	Unfed
21/12/2017	Sa	24h	VfN	30	33,54664741	5,953430788	2,046365131	0,326138495	0	0,007224477	0,012254374	0,849280532	0,007957665	41,89206067	Parasitoid	Unfed
20/12/2017	Sa	24h	Unfed	31	2,271039823	2,053600154	1,007858936	0	0	0,005420058	0	0,525139627	0,001015388	5,337918971	Parasitoid	Unfed
21/12/2017	Sa	24h	Unfed	32	3,841429903	0,427393664	0,430669631	0	0	0,001239525	0,029875517	0,899880223	0,000262022	4,730608241	Parasitoid	Unfed
21/12/2017	Sa	24h	Unfed	33	2,88209252	0,450080217	0,76815549	0	0	0,005228601	0,055663514	0,864928906	0,001256507	4,161220342	Parasitoid	Unfed
